Date,TCS,ACC,INFY,RELIANCE
12-04-2023,3241.65,1758.00,1428.30,2346.65
13-04-2023,3188.85,1767.55,1389.20,2355.50
17-04-2023,3139.50,1784.35,1258.30,2367.45
18-04-2023,3130.75,1760.10,1259.35,2340.35
19-04-2023,3089.60,1749.30,1232.20,2352.00
20-04-2023,3104.80,1738.10,1223.40,2346.05
21-04-2023,3160.85,1717.95,1227.35,2349.00
24-04-2023,3174.80,1734.65,1226.30,2358.00
25-04-2023,3176.00,1736.15,1224.90,2376.05
26-04-2023,3198.15,1738.70,1227.55,2362.10
27-04-2023,3187.95,1750.85,1246.25,2377.05
28-04-2023,3219.25,1762.85,1252.75,2420.50
02-05-2023,3219.40,1764.15,1277.45,2441.05
03-05-2023,3179.90,1743.60,1269.15,2420.10
04-05-2023,3220.70,1766.30,1273.55,2448.00
05-05-2023,3230.70,1764.65,1259.10,2441.75
08-05-2023,3250.60,1766.65,1265.60,2471.90
09-05-2023,3283.25,1759.30,1270.70,2479.55
10-05-2023,3286.80,1751.15,1263.25,2496.60
11-05-2023,3282.15,1786.15,1256.10,2480.30
12-05-2023,3274.30,1798.00,1245.20,2484.35
15-05-2023,3255.05,1799.90,1258.35,2489.25
16-05-2023,3258.15,1783.50,1264.30,2453.80
17-05-2023,3208.70,1758.15,1246.90,2439.30
18-05-2023,3199.85,1712.45,1246.00,2434.05
19-05-2023,3222.85,1729.05,1268.90,2441.95
22-05-2023,3298.70,1813.40,1292.80,2455.00
23-05-2023,3297.05,1819.45,1300.05,2454.55
24-05-2023,3303.35,1780.40,1298.65,2440.25
25-05-2023,3293.50,1778.15,1304.35,2439.95
26-05-2023,3328.90,1785.00,1317.45,2506.50
29-05-2023,3320.35,1794.40,1314.40,2520.60
30-05-2023,3316.20,1798.40,1323.85,2519.95
31-05-2023,3289.50,1777.20,1318.30,2469.90
01-06-2023,3324.00,1800.30,1319.50,2463.25
02-06-2023,3305.60,1815.60,1299.00,2455.20
05-06-2023,3288.90,1810.45,1304.50,2477.25
06-06-2023,3232.30,1856.30,1279.00,2479.35
07-06-2023,3274.90,1851.75,1288.95,2498.15
08-06-2023,3236.45,1833.55,1282.80,2499.65
09-06-2023,3209.30,1837.30,1265.95,2481.95
12-06-2023,3246.90,1838.55,1291.95,2484.15
13-06-2023,3243.70,1846.95,1304.85,2520.85
14-06-2023,3251.05,1854.85,1300.40,2551.85
15-06-2023,3216.30,1850.00,1286.80,2552.55
16-06-2023,3174.90,1855.45,1291.65,2577.40
19-06-2023,3210.40,1825.40,1294.00,2551.80
20-06-2023,3227.70,1838.20,1303.40,2557.10
21-06-2023,3258.20,1845.85,1299.35,2564.30
22-06-2023,3238.50,1831.75,1281.55,2535.50
23-06-2023,3216.35,1766.90,1265.00,2514.75
26-06-2023,3189.65,1792.30,1270.35,2495.55
27-06-2023,3197.35,1788.60,1279.15,2496.45
28-06-2023,3215.45,1812.35,1293.35,2529.50
30-06-2023,3302.25,1813.70,1335.50,2550.25
03-07-2023,3272.30,1825.10,1333.70,2615.70
04-07-2023,3308.85,1820.45,1345.15,2588.75
05-07-2023,3319.95,1820.80,1347.30,2584.50
06-07-2023,3322.90,1820.35,1343.90,2638.75
07-07-2023,3329.25,1791.50,1330.20,2633.60
10-07-2023,3271.95,1794.70,1329.15,2735.05
11-07-2023,3272.40,1783.25,1348.60,2764.70
12-07-2023,3259.90,1789.65,1333.30,2767.75
13-07-2023,3340.55,1770.50,1365.10,2743.00
14-07-2023,3514.65,1777.50,1425.95,2740.70
17-07-2023,3514.65,1811.50,1425.95,2796.70
17-07-2023,3491.70,1795.10,1422.95,2820.45
18-07-2023,3496.85,1800.05,1475.20,2841.85
19-07-2023,3470.05,1800.45,1474.95,2619.85
20-07-2023,3463.30,1766.70,1449.50,2538.75
21-07-2023,3368.30,1804.60,1331.60,2487.40
24-07-2023,3394.75,1891.75,1336.60,2485.80
25-07-2023,3399.15,1922.50,1334.60,2526.20
26-07-2023,3388.30,1940.50,1348.85,2502.70
27-07-2023,3396.90,1948.90,1353.15,2527.85
28-07-2023,3355.40,2017.90,1340.50,2549.25
31-07-2023,3421.45,2010.60,1355.70,2513.20
01-08-2023,3452.05,1971.25,1365.20,2486.35
02-08-2023,3440.65,2028.15,1356.85,2475.90
03-08-2023,3399.95,2042.75,1364.30,2509.55
04-08-2023,3443.55,2031.05,1378.35,2523.85
07-08-2023,3484.05,2000.95,1393.00,2508.65
08-08-2023,3470.60,1987.15,1390.20,2525.20
09-08-2023,3462.50,1960.95,1394.40,2536.45
10-08-2023,3442.10,1953.65,1389.10,2547.15
11-08-2023,3448.80,1910.35,1371.85,2577.25
14-08-2023,3449.85,1892.15,1393.55,2575.15
16-08-2023,3458.40,1900.85,1419.10,2538.00
17-08-2023,3435.75,1934.10,1418.50,2556.80
18-08-2023,3367.10,1971.95,1411.55,2520.00
21-08-2023,3401.65,1979.10,1388.80,2519.40
22-08-2023,3382.15,1965.25,1405.40,2522.20
23-08-2023,3398.25,1990.35,1403.75,2479.80
24-08-2023,3387.75,1962.55,1407.95,2468.35
25-08-2023,3381.30,1985.25,1423.60,2443.75
28-08-2023,3375.55,1981.80,1420.10,2420.35
29-08-2023,3376.15,2000.55,1415.65,2418.05
30-08-2023,3390.95,2005.75,1417.65,2407.00
31-08-2023,3356.80,2011.25,1435.15,2412.65
01-09-2023,3379.20,2058.65,1435.45,2410.70
04-09-2023,3418.50,2084.60,1443.85,2423.60
05-09-2023,3429.35,2043.50,1465.10,2428.70
06-09-2023,3429.90,2041.75,1478.90,2432.00
07-09-2023,3455.25,2024.25,1477.45,2448.20
08-09-2023,3441.90,2051.05,1466.20,2474.60
11-09-2023,3480.65,2010.95,1469.60,2438.85
12-09-2023,3580.80,2063.05,1476.45,2451.05
13-09-2023,3567.85,2038.30,1501.10,2453.30
14-09-2023,3560.05,2026.85,1498.35,2457.85
15-09-2023,3598.30,2006.70,1506.95,2436.45
18-09-2023,3606.15,1979.80,1511.60,2382.15
20-09-2023,3606.05,1993.80,1491.80,2364.80
21-09-2023,3585.30,1978.50,1490.25,2354.95
22-09-2023,3603.65,2000.10,1501.75,2340.45
25-09-2023,3577.15,2015.05,1496.15,2342.50
26-09-2023,3585.70,2019.75,1474.15,2368.90
27-09-2023,3589.30,1996.35,1460.65,2334.10
28-09-2023,3536.75,2012.25,1467.00,2345.00
29-09-2023,3528.60,2034.90,1439.45,2318.15
03-10-2023,3513.85,2006.65,1435.45,2314.15
04-10-2023,3537.75,1997.25,1434.00,2314.10
05-10-2023,3589.35,2009.95,1444.35,2318.00
06-10-2023,3621.40,1964.95,1463.45,2298.25
09-10-2023,3638.35,1986.25,1478.70,2308.40
10-10-2023,3628.90,2038.70,1475.45,2345.05
11-10-2023,3609.90,2029.55,1495.15,2349.40
12-10-2023,3542.55,2010.45,1494.40,2349.30
13-10-2023,3570.85,2030.85,1465.50,2344.05
16-10-2023,3524.05,2039.60,1431.15,2355.25
17-10-2023,3507.05,2014.05,1434.15,2324.00
18-10-2023,3487.25,2030.55,1442.45,2306.15
19-10-2023,3455.65,1963.15,1440.55,2299.10
20-10-2023,3494.55,1897.35,1433.65,2263.20
23-10-2023,3410.15,1891.10,1427.25,2257.95
25-10-2023,3390.10,1899.85,1408.65,2226.50
26-10-2023,3336.75,1878.00,1370.05,2265.80
27-10-2023,3350.95,1887.00,1359.45,2312.50
30-10-2023,3378.55,1888.20,1380.35,2287.90
31-10-2023,3368.75,1843.75,1377.05,2297.40
01-11-2023,3330.65,1864.15,1368.40,2320.20
02-11-2023,3360.10,1859.85,1354.15,2319.70
03-11-2023,3350.90,1864.30,1370.15,2339.00
06-11-2023,3380.25,1860.60,1389.05,2323.80
07-11-2023,3370.45,1854.15,1403.30,2335.90
08-11-2023,3381.55,1844.95,1404.30,2335.90
09-11-2023,3347.45,1825.30,1391.00,2310.55
10-11-2023,3333.45,1839.15,1374.80,2314.90
12-11-2023,3357.30,1834.85,1368.85,2330.65
13-11-2023,3331.55,1836.35,1388.20,2314.60
15-11-2023,3404.30,1844.85,1373.55,2356.45
16-11-2023,3497.85,1848.25,1410.50,2360.70
17-11-2023,3502.45,1828.45,1444.90,2355.55
20-11-2023,3519.60,1839.55,1437.55,2349.35
21-11-2023,3510.20,1815.25,1436.60,2378.90
22-11-2023,3530.15,1819.70,1439.00,2388.20
23-11-2023,3508.25,1820.50,1457.80,2395.50
24-11-2023,3457.10,1869.00,1449.25,2393.90
28-11-2023,3470.15,1871.80,1437.40,2393.90
29-11-2023,3513.75,1875.55,1442.70,2394.40
30-11-2023,3487.60,1900.25,1459.60,2400.70
01-12-2023,3511.65,2019.50,1455.15,2377.45
04-12-2023,3512.45,2184.80,1452.30,2394.30
05-12-2023,3531.60,2128.25,1464.35,2420.20
06-12-2023,3604.10,2141.55,1453.95,2437.75
07-12-2023,3614.90,2137.80,1474.30,2461.10
08-12-2023,3626.70,2179.20,1465.90,2457.05
11-12-2023,3642.90,2175.45,1491.15,2455.75
12-12-2023,3672.10,2184.20,1488.50,2459.35
13-12-2023,3593.55,2234.30,1476.05,2424.05
14-12-2023,3667.25,2212.35,1449.00,2433.95
15-12-2023,3861.00,2237.25,1501.45,2464.15
18-12-2023,3859.20,2202.75,1578.40,2495.60
19-12-2023,3816.20,2086.65,1564.35,2521.00
20-12-2023,3780.05,2107.40,1558.30,2558.10
21-12-2023,3787.50,2090.75,1536.40,2527.15
22-12-2023,3824.00,2113.55,1536.00,2562.55
26-12-2023,3795.55,2168.55,1562.90,2565.05
27-12-2023,3811.20,2170.70,1543.95,2578.05
28-12-2023,3799.90,2211.25,1567.10,2586.85
29-12-2023,3793.40,2243.30,1562.65,2605.55
01-01-2024,3811.10,2267.30,1542.90,2584.95
02-01-2024,3783.20,2280.20,1551.35,2590.25
03-01-2024,3691.75,2358.20,1534.40,2611.70
04-01-2024,3666.80,2377.45,1490.00,2583.30
05-01-2024,3737.90,2354.75,1512.70,2596.65
08-01-2024,3678.30,2309.65,1532.55,2607.70
09-01-2024,3689.90,2306.60,1522.80,2587.35
10-01-2024,3713.05,2321.75,1529.30,2580.50
11-01-2024,3735.55,2332.40,1519.90,2650.10
12-01-2024,3882.80,2320.40,1494.20,2719.80
15-01-2024,3903.80,2294.45,1612.75,2741.45
16-01-2024,3861.30,2251.80,1652.10,2788.25
17-01-2024,3884.60,2260.10,1631.55,2749.25
18-01-2024,3902.60,2277.10,1640.20,2723.15
19-01-2024,3943.05,2290.10,1642.60,2735.90
20-01-2024,3860.65,2207.95,1659.20,2734.90
23-01-2024,3858.25,2240.60,1648.85,2713.30
24-01-2024,3841.80,2467.65,1642.15,2657.15
25-01-2024,3841.80,2492.90,1675.40,2687.75
25-01-2024,3810.30,2513.15,1675.40,2706.15
29-01-2024,3801.00,2544.30,1669.10,2896.10
30-01-2024,3800.55,2530.00,1656.60,2815.25
31-01-2024,3815.95,2499.45,1651.45,2853.25
01-02-2024,3854.15,2486.20,1660.90,2853.30
02-02-2024,3966.30,2528.25,1657.05,2915.40
05-02-2024,3973.30,2505.55,1693.35,2878.05
06-02-2024,4136.00,2510.85,1687.20,2855.60
07-02-2024,4083.40,2628.05,1729.45,2884.30
08-02-2024,4134.10,2636.35,1693.75,2900.25
09-02-2024,4133.70,2614.60,1692.10,2921.50
12-02-2024,4120.70,2619.60,1669.35,2904.70
13-02-2024,4149.50,2637.65,1680.10,2930.20
14-02-2024,4100.10,2720.40,1684.55,2962.75
15-02-2024,4103.20,2670.50,1666.20,2941.20
16-02-2024,4128.30,2686.70,1676.35,2921.15
19-02-2024,4103.80,2666.75,1701.65,2948.00
20-02-2024,4030.65,2680.10,1699.75,2942.05
21-02-2024,3991.50,2679.55,1685.25,2935.40
22-02-2024,4087.10,2674.65,1655.55,2963.50
23-02-2024,4052.10,2669.40,1681.35,2987.25
26-02-2024,4001.05,2573.25,1676.85,2974.65
27-02-2024,4104.40,2629.30,1660.15,2971.30
28-02-2024,4118.95,2695.45,1663.60,2911.25
29-02-2024,4095.10,2702.55,1671.25,2921.60
01-03-2024,4094.35,2695.65,1673.90,2984.25
02-03-2024,4107.10,2668.75,1654.70,2982.15
04-03-2024,4080.70,2642.00,1656.30,3014.80
05-03-2024,4012.10,2638.80,1637.20,3000.40
06-03-2024,4064.30,2641.90,1606.50,3006.00
07-03-2024,4108.60,2561.60,1617.55,2957.85
11-03-2024,4122.35,2389.10,1616.45,2933.20
12-03-2024,4192.25,2482.10,1600.60,2950.85
13-03-2024,4149.00,2502.95,1612.95,2864.35
14-03-2024,4207.60,2441.55,1611.40,2862.95
15-03-2024,4219.25,2403.40,1653.30,2836.45
18-03-2024,4152.50,2397.70,1634.00,2878.95
19-03-2024,3977.30,2438.85,1602.65,2850.50
20-03-2024,3970.90,2443.25,1561.45,2887.50
21-03-2024,3972.95,2450.00,1554.95,2901.95
22-03-2024,3910.90,2454.10,1554.70,2910.05
26-03-2024,3877.50,2491.70,1508.85,2883.15
27-03-2024,3840.90,2544.55,1492.65,2985.70
28-03-2024,3876.30,2648.65,1483.85,2971.70
01-04-2024,3916.75,2633.95,1498.05,2969.55
02-04-2024,3883.80,2616.25,1495.45,2973.90
03-04-2024,3947.30,2575.10,1482.85,2943.20
04-04-2024,4003.30,2582.45,1480.65,2925.85
05-04-2024,3979.25,2524.30,1486.70,2920.20
08-04-2024,3972.55,2524.70,1479.10,2971.95
09-04-2024,3946.55,,1476.70,2927.30
10-04-2024,3984.65,,1494.85,2959.15
,,,1506.80,
